"Close","閉じる"
"Login","ログイン"
"E-mail address","メールアドレス"
"Password","パスワード"
"Registration","登録"
"Profile Informations","プロフィール情報"
"First Name","名前"
"Last Name","苗字"
"Subscribe to Newsletter","メールマガジンを申し込む"
"Login Datas","ログインデータ"
"Password confirmation","パスワード確認"
"I accept the","利用規約に同意する"
"Terms and Coditions","利用規約に同意する"
"Register","登録する"
"Email or Password is wrong!","メールまたはパスワードは正しくありません。"
"Terms and Conditions are required!","利用規約が必須です。"
"Passwords are not same!","パスワードが同じではありません"
"Please enter 16 or less characters!","16文字以内で入力してください。"
"Please enter 6 or more characters!","6文字以上で入力してください。"
"Enter a valid password!","有効なパスワードを入力してください。"
"Password is required!","パスワードが必須です。"
"This email is already registered!","このメールがすでに登録されました。"
"Email address is required!","メールが必須です。"
"This is not an email address!","これは有効なメールではありません。"
"Last name is not valid!","苗字が無効です。"
"First name is not valid!","名前が無効です。"
"Last name is required!","苗字が必須です。"
"First name is required!","名前が必須です。"
"Forgot Password","パスワードを忘れた"
