"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"Add New Rating","Thêm mới Đánh giá"
"Assigned Options","Assigned Options"
"Be the first to review this product","Thêm nhận xét của bạn"
"Default Value","Default Value"
"Delete Rating","Xóa Đánh giá"
"Edit Rating","Sửa Đánh giá"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Nếu bạn không chỉ định một tiêu đề đánh giá cho một cửa hàng, giá trị mặc định sẽ được sử dụng."
"Manage Ratings","Manage Ratings"
"New Rating","New Rating"
"Option Label","Option Label"
"Option Title","Option Title"
"Option Title:","Option Title:"
"Please select one of each ratings above","Please select one of each ratings above"
"Rating Information","Thông tin đánh giá"
"Rating Name","Tên đánh giá"
"Rating Options","Rating Options"
"Rating Title","Tiêu đề đánh giá"
"Rating Visibility","Hiển thị đánh giá"
"Rating isn't Available","Rating isn't Available"
"Rating with the same title","Rating with the same title"
"Save Rating","Lưu Đánh giá"
"Sort Order","Sort Order"
"Visible In","Visible In"
